Image_Name,Folder,Fault_Type,Severity,ActionTaken,ResolutionStatus,Cost,Downtime_Days,RepairStartDate,RepairEndDate
291.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5773,2,2024-03-22,2024-03-24
292.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5429,2,2024-01-16,2024-01-18
293.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4952,1,2024-03-02,2024-03-03
294.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7159,2,2024-02-10,2024-02-12
295.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3030,3,2024-03-20,2024-03-23
296.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3468,3,2024-02-09,2024-02-12
297.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6586,1,2024-01-15,2024-01-16
298.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3233,3,2024-02-13,2024-02-16
299.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7338,1,2024-03-30,2024-03-31
300.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6807,1,2024-02-17,2024-02-18
301.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6745,1,2024-02-04,2024-02-05
302.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5548,1,2024-03-22,2024-03-23
303.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6479,3,2024-02-21,2024-02-24
304.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7161,1,2024-03-19,2024-03-20
305.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6342,1,2024-01-24,2024-01-25
306.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3596,2,2024-01-04,2024-01-06
307.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5299,1,2024-03-04,2024-03-05
308.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3734,2,2024-03-05,2024-03-07
309.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4059,1,2024-01-16,2024-01-17
310.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5019,2,2024-01-29,2024-01-31
311.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3806,2,2024-02-24,2024-02-26
312.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5931,3,2024-03-05,2024-03-08
313.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3077,3,2024-01-02,2024-01-05
314.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5491,1,2024-02-21,2024-02-22
315.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3485,1,2024-01-05,2024-01-06
316.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4748,3,2024-02-04,2024-02-07
317.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5959,2,2024-02-01,2024-02-03
318.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7176,3,2024-04-07,2024-04-10
319.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7361,1,2024-01-29,2024-01-30
320.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4193,3,2024-03-11,2024-03-14
321.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4893,3,2024-02-21,2024-02-24
322.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6174,2,2024-03-27,2024-03-29
323.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4816,2,2024-03-05,2024-03-07
324.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3044,3,2024-03-24,2024-03-27
325.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5049,3,2024-04-06,2024-04-09
326.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4832,2,2024-01-23,2024-01-25
327.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3306,2,2024-02-09,2024-02-11
328.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4202,1,2024-03-05,2024-03-06
099.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,944,0,2024-03-09,2024-03-09
100.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,920,0,2024-01-22,2024-01-22
101.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,867,0,2024-03-24,2024-03-24
102.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,897,0,2024-04-05,2024-04-05
103.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,916,0,2024-02-23,2024-02-23
104.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,308,0,2024-01-12,2024-01-12
106.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,475,0,2024-03-13,2024-03-13
107.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,828,0,2024-03-03,2024-03-03
108.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,915,0,2024-02-02,2024-02-02
109.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,330,0,2024-04-01,2024-04-01
110.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,452,0,2024-03-12,2024-03-12
111.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,575,0,2024-04-10,2024-04-10
112.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,836,0,2024-01-19,2024-01-19
113.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,657,0,2024-04-08,2024-04-08
114.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,480,0,2024-02-02,2024-02-02
115.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,737,0,2024-02-14,2024-02-14
116.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,968,0,2024-02-03,2024-02-03
117.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,994,0,2024-03-31,2024-03-31
118.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,309,0,2024-04-07,2024-04-07
119.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,711,0,2024-03-30,2024-03-30
120.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,335,0,2024-03-02,2024-03-02
121.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,975,0,2024-03-12,2024-03-12
122.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,770,0,2024-01-17,2024-01-17
123.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,600,0,2024-04-01,2024-04-01
124.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,469,0,2024-02-08,2024-02-08
125.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,748,0,2024-01-27,2024-01-27
126.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,677,0,2024-03-07,2024-03-07
127.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,589,0,2024-03-07,2024-03-07
128.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,470,0,2024-03-12,2024-03-12
129.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,558,0,2024-01-12,2024-01-12
