Image_Name,Folder,Fault_Type,Severity,ActionTaken,ResolutionStatus,Cost,Downtime_Days,RepairStartDate,RepairEndDate
291.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3630,3,2024-02-08,2024-02-11
292.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5983,1,2024-03-17,2024-03-18
293.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6374,3,2024-03-28,2024-03-31
294.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7369,2,2024-03-04,2024-03-06
295.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6805,2,2024-01-04,2024-01-06
296.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5679,1,2024-04-03,2024-04-04
297.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4698,3,2024-01-12,2024-01-15
298.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4692,1,2024-03-12,2024-03-13
299.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7328,3,2024-01-26,2024-01-29
300.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5817,2,2024-02-12,2024-02-14
301.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7354,2,2024-04-10,2024-04-12
302.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4087,3,2024-01-20,2024-01-23
303.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4506,3,2024-03-30,2024-04-02
304.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7024,1,2024-02-02,2024-02-03
305.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5488,2,2024-02-16,2024-02-18
306.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4933,2,2024-03-03,2024-03-05
307.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7835,3,2024-03-24,2024-03-27
308.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7421,1,2024-01-05,2024-01-06
309.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4938,1,2024-01-02,2024-01-03
310.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4754,2,2024-03-07,2024-03-09
311.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5779,3,2024-03-14,2024-03-17
312.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4412,2,2024-01-29,2024-01-31
313.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3531,1,2024-03-04,2024-03-05
314.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4567,2,2024-02-01,2024-02-03
315.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4436,2,2024-01-18,2024-01-20
316.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3715,3,2024-01-28,2024-01-31
317.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5815,3,2024-01-16,2024-01-19
318.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3910,1,2024-02-16,2024-02-17
319.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4569,1,2024-02-04,2024-02-05
320.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7118,1,2024-01-19,2024-01-20
321.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7078,2,2024-02-10,2024-02-12
322.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3754,3,2024-03-01,2024-03-04
323.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,5804,1,2024-02-08,2024-02-09
324.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,7976,3,2024-02-08,2024-02-11
325.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,4363,3,2024-04-07,2024-04-10
326.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6649,2,2024-01-24,2024-01-26
327.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,6591,1,2024-03-11,2024-03-12
328.bmp,A&B50,Stator fault,50,Component Replacement,Resolved,3761,3,2024-03-11,2024-03-14
099.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,894,0,2024-03-31,2024-03-31
100.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,777,0,2024-02-21,2024-02-21
101.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,512,0,2024-02-21,2024-02-21
102.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,514,0,2024-01-17,2024-01-17
103.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,717,0,2024-01-27,2024-01-27
104.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,344,0,2024-03-06,2024-03-06
106.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,657,0,2024-01-13,2024-01-13
107.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,751,0,2024-01-27,2024-01-27
108.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,702,0,2024-03-05,2024-03-05
109.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,324,0,2024-03-11,2024-03-11
110.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,548,0,2024-03-17,2024-03-17
111.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,315,0,2024-04-03,2024-04-03
112.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,541,0,2024-03-17,2024-03-17
113.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,889,0,2024-04-04,2024-04-04
114.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,466,0,2024-03-01,2024-03-01
115.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,523,0,2024-01-08,2024-01-08
116.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,412,0,2024-02-24,2024-02-24
117.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,901,0,2024-04-08,2024-04-08
